"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"Deriv","Deriv","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.1.6",NA,NA,"methods",NA,"testthat (>= 0.11.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.2"
"desc","desc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.3",NA,"R (>= 3.4)","cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"deSolve","deSolve","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.40",NA,"R (>= 3.3.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"devtools","devtools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"dfoptim","dfoptim","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2023.1.0",NA,"R (>= 2.10.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"DiagMRMT","DiagMRMT","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.0.0.9000",NA,"R (>= 2.10)","BB, dplyr, ggalt, ggplot2, haven, MASS, Matrix, nleqslv,
numDeriv, reshape2, tidyr, VGAM, devtools, usethis",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"diagram","diagram","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6.5",NA,"R (>= 2.01), shape","stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"DiceKriging","DiceKriging","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6.0",NA,"methods",NA,NA,"rgenoud (>= 5.8-2.0), foreach, doParallel, testthat, numDeriv",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"diffobj","diffobj","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"digest","digest","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.37",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"distributional","distributional","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.0",NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, stats, numDeriv,
utils, lifecycle, pillar",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar (>= 2.0.0), evd,
ggdist, ggplot2, gk",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.2"
"doBy","doBy","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.6.24",NA,"R (>= 4.2.0), methods","boot, broom, cowplot, Deriv, dplyr, ggplot2, MASS, Matrix,
modelr, microbenchmark, rlang, tibble, tidyr,",NA,"geepack, knitr, lme4, markdown, multcomp, pbkrtest (>=
0.5.2), survival, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.2"
"doParallel","doParallel","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.4.2"
"doRNG","doRNG","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8.6",NA,"R (>= 3.0.0), foreach, rngtools (>= 1.5)","stats, utils, iterators",NA,"doParallel, doMPI, doRedis, rbenchmark, devtools, knitr,
rbibutils (>= 1.3), testthat, pkgmaker (>= 0.32.7), covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"doSNOW","doSNOW","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.20",NA,"R (>= 2.5.0), foreach(>= 1.2.0), iterators(>= 1.0.0), snow(>=
0.3.0), utils",NA,NA,"compiler, RUnit, caret, mlbench, rpart, parallel",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"dosresmeta","dosresmeta","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.1",NA,"mvmeta",NA,NA,"knitr, rmarkdown, rms",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"dotCall64","dotCall64","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2",NA,"R (>= 4.0)",NA,NA,"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"downlit","downlit","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.4",NA,"R (>= 4.0.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"downloader","downloader","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.2"
"dplyr","dplyr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.4",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.4)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"dqrng","dqrng","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.1",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","BH, testthat, knitr, rmarkdown, mvtnorm (>= 1.2-3), bench,
sitmo",NA,"AGPL-3",NA,NA,NA,NA,"yes","4.4.1"
"DT","DT","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.33",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), httpuv, jsonlite
(>= 0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"dtametasa","dtametasa","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.0",NA,"R (>= 3.1.0)","mixmeta, numDeriv",NA,NA,NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"dtplyr","dtplyr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.1",NA,"R (>= 3.3)","cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"e1071","e1071","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.7-16",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.2"
"ellipse","ellipse","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.0",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"ellipsis","ellipsis","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"epiDisplay","epiDisplay","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.5.0.2",NA,"R (>= 2.6.2), foreign, survival, MASS, nnet",NA,NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"evaluate","evaluate","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.1",NA,"R (>= 3.6.0)",NA,NA,"covr, ggplot2 (>= 3.3.6), lattice, methods, rlang, testthat
(>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"exactRankTests","exactRankTests","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8-35",NA,"R (>= 2.4.0), stats, utils",NA,NA,"survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"extraDistr","extraDistr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.10.0",NA,"R (>= 3.1.0)","Rcpp","Rcpp","testthat, LaplacesDemon, VGAM, evd, skellam, triangle, actuar",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"extrafont","extrafont","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.19",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"extrafontdb","extrafontdb","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.4.0"
"fansi","fansi","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.6",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"farver","farver","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.2",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"fastDummies","fastDummies","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.7.4",NA,"R (>= 2.10)","data.table, tibble, stringr",NA,"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"fastmap","fastmap","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"fda","fda","C:/Users/zhouy/AppData/Local/R/win-library/4.4","6.2.0",NA,"R (>= 3.5), splines, fds, deSolve",NA,NA,"rmarkdown, knitr, lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"fds","fds","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8",NA,"R (>= 3.4.0), rainbow, RCurl",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"fields","fields","C:/Users/zhouy/AppData/Local/R/win-library/4.4","16.3",NA,"R (>= 3.5.0), methods, spam, viridisLite","maps",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"filelock","filelock","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.3",NA,"R (>= 3.4)",NA,NA,"callr (>= 2.0.0), covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"fitdistrplus","fitdistrplus","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2-1",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats, rlang",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc, bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"flextable","flextable","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9.7",NA,NA,"data.table (>= 1.13.0), gdtools (>= 0.4.0), graphics,
grDevices, grid, htmltools, knitr, officer (>= 0.6.7), ragg,
rlang, rmarkdown (>= 2.0), stats, utils, uuid (>= 0.1-4), xml2",NA,"bookdown (>= 0.40), broom, broom.mixed, chromote, cluster,
commonmark, doconv (>= 0.3.0), equatags, ggplot2, lme4, magick,
mgcv, nlme, officedown, pdftools, pkgdown (>= 2.0.0), scales,
svglite, tables (>= 0.9.17), testthat (>= 3.0.0), webshot2,
withr, xtable",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.2"
"FNN","FNN","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.4.1",NA,"R (>= 4.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"fontawesome","fontawesome","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.3",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), gt (>= 0.9.0), knitr (>= 1.31),
testthat (>= 3.0.0), rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"fontBitstreamVera","fontBitstreamVera","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"file LICENCE","yes",NA,NA,NA,"no","4.4.0"
"fontLiberation","fontLiberation","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.0",NA,"R (>= 3.0)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","4.4.0"
"fontquiver","fontquiver","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.1",NA,"R (>= 3.0.0)","fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"forcats","forcats","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.0",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"foreach","foreach","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.4.1"
"foreign","foreign","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8-87","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"forestplot","forestplot","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.1.6",NA,"R (>= 4.1.0), grid, checkmate, abind",NA,NA,"dplyr, Gmisc, Greg, knitr, purrr, rlang, rmarkdown, rmeta,
rms, testthat, tibble, tidyr, tidyselect, tidyverse",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.2"
"formatR","formatR","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.14",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.4.1"
"Formula","Formula","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2-5",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.0"
"fresh","fresh","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.1",NA,NA,"bslib, htmltools, rstudioapi, sass, shiny",NA,"bsicons, shinyWidgets, shinydashboard, bs4Dash, knitr,
rmarkdown, testthat (>= 2.1.0), covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"fs","fs","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6.5",NA,"R (>= 3.6)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"furrr","furrr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.1",NA,"future (>= 1.25.0), R (>= 3.4.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4),
rlang (>= 1.0.2), vctrs (>= 0.4.1)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), tidyselect, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"futile.logger","futile.logger","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.4.1"
"futile.options","futile.options","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.4.0"
"future","future","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.34.0",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.38.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.1"
"future.apply","future.apply","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.11.3",NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.2"
"gam","gam","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.22-5",NA,"R (>= 4.0), stats, splines, foreach","methods",NA,"interp, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.2"
"gargle","gargle","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.2",NA,"R (>= 3.6)","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"gdata","gdata","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.0.1",NA,NA,"gtools, methods, stats, utils",NA,"RUnit",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.2"
"gdtools","gdtools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.1",NA,"R (>= 4.0.0)","fontquiver (>= 0.2.0), htmltools, Rcpp (>= 0.12.12),
systemfonts (>= 1.1.0), tools","Rcpp","curl, gfonts, methods, testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"gemtc","gemtc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0-2",NA,"R (>= 3.5.0), coda (>= 0.13)","igraph (>= 1.0), meta (>= 2.1), plyr (>= 1.8), graphics,
grDevices, stats, utils, grid, rjags (>= 4-0), truncnorm,
Rglpk, forcats (>= 0.5.0)",NA,"testthat (>= 0.8), Matrix",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"generics","generics","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"GenomeInfoDb","GenomeInfoDb","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.42.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, UCSC.utils, GenomeInfoDbData",NA,"R.utils, data.table, GenomicRanges, Rsamtools,
GenomicAlignments, GenomicFeatures, BSgenome,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"GenomeInfoDbData","GenomeInfoDbData","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.13",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"GenomicRanges","GenomicRanges","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.58.0",NA,"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.27.12), IRanges (>= 2.37.1), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, txdbmaker, Gviz, VariantAnnotation,
AnnotationHub, DESeq2, DEXSeq, edgeR, KEGGgraph,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset, KEGGREST,
hgu95av2.db, hgu95av2probe, BSgenome.Scerevisiae.UCSC.sacCer2,
BSgenome.Hsapiens.UCSC.hg38, BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"GEOquery","GEOquery","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.74.0",NA,"methods, Biobase","readr (>= 1.3.1), xml2, dplyr, data.table, tidyr, magrittr,
limma, curl, rentrez, R.utils, stringr, SummarizedExperiment,
S4Vectors, rvest, httr2",NA,"knitr, rmarkdown, BiocGenerics, testthat, covr, markdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"gert","gert","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.4",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"ggalt","ggalt","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.0",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)",NA,"testthat, gridExtra, knitr, rmarkdown, ggthemes, reshape2",NA,"AGPL + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ggbeeswarm","ggbeeswarm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.7.2",NA,"R (>= 3.5.0), ggplot2 (>= 3.3.0)","beeswarm, lifecycle, vipor, cli",NA,"gridExtra",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"ggplot2","ggplot2","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.5.1",NA,"R (>= 3.5)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.3.0), stats, tibble, vctrs (>= 0.6.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, mapproj,
maps, multcomp, munsell, nlme, profvis, quantreg, ragg (>=
1.2.6), RColorBrewer, rmarkdown, rpart, sf (>= 0.7-3), svglite
(>= 2.1.2), testthat (>= 3.1.2), vdiffr (>= 1.0.6), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ggpubr","ggpubr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.0",NA,"R (>= 3.1.0), ggplot2 (>= 3.4.0)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"ggrastr","ggrastr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.2",NA,"R (>= 3.2.2)","ggplot2 (>= 2.1.0), Cairo (>= 1.5.9), ggbeeswarm, grid, png,
ragg",NA,"knitr, maps, rmarkdown, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ggrepel","ggrepel","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9.6",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"ggridges","ggridges","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.6",NA,"R (>= 3.2)","ggplot2 (>= 3.4.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.4.1"
